test_year,score,weather_stratum,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2004,component_transition_score,all matched,0.05,2405,208,121,67,0.32211538461538464,0.5537190082644629,0.08648648648648649,6.402376033057851,0.8921518966131955,0.5281547574417035,11287835.0,12652369.0,3522.0,6668.5
2004,component_transition_score,all matched,0.1,2405,208,241,112,0.5384615384615384,0.46473029045643155,0.08648648648648649,5.373443983402489,0.9084312985180878,0.575541726025343,11493808.0,12652369.0,3838.0,6668.5
2004,component_transition_score,normal weather,0.05,1578,133,79,45,0.3383458646616541,0.569620253164557,0.08428390367553866,6.758351575140383,0.571713059003861,0.5558316908046962,1507218.0,2636319.0,3243.0,5834.5
2004,component_transition_score,normal weather,0.1,1578,133,158,70,0.5263157894736842,0.4430379746835443,0.08428390367553866,5.2564956695536305,0.6479553498647167,0.5861684805895964,1708217.0,2636319.0,3420.0,5834.5
2004,component_transition_score,adverse weather,0.05,827,75,42,21,0.28,0.5,0.09068923821039904,5.513333333333333,0.5503895248126757,0.3249400479616307,5512729.0,10016050.0,271.0,834.0
2004,component_transition_score,adverse weather,0.1,827,75,83,41,0.5466666666666666,0.4939759036144578,0.09068923821039904,5.446907630522088,0.9913422956155371,0.5515587529976019,9929334.0,10016050.0,460.0,834.0
2004,component_transition_score,low visibility,0.05,164,21,9,4,0.19047619047619047,0.4444444444444444,0.12804878048780488,3.4708994708994707,0.7690543513357736,0.54,254850.0,331381.0,27.0,50.0
2004,component_transition_score,low visibility,0.1,164,21,17,9,0.42857142857142855,0.5294117647058824,0.12804878048780488,4.134453781512605,0.9997706567365057,0.9,331305.0,331381.0,45.0,50.0
2004,component_transition_score,precipitation,0.05,290,30,15,7,0.23333333333333334,0.4666666666666667,0.10344827586206896,4.511111111111111,0.9758901404610745,0.5637583892617449,5161562.0,5289081.0,168.0,298.0
2004,component_transition_score,precipitation,0.1,290,30,29,14,0.4666666666666667,0.4827586206896552,0.10344827586206896,4.666666666666667,0.9933345698430408,0.959731543624161,5253827.0,5289081.0,286.0,298.0
2004,component_transition_score,low ceiling,0.05,709,62,36,22,0.3548387096774194,0.6111111111111112,0.08744710860366714,6.988351254480287,0.9757209550129431,0.3161993769470405,4952059.0,5075282.0,203.0,642.0
2004,component_transition_score,low ceiling,0.1,709,62,71,38,0.6129032258064516,0.5352112676056338,0.08744710860366714,6.120399818264424,0.9896242218658983,0.48753894080996885,5022622.0,5075282.0,313.0,642.0
2004,weather_severity_only,all matched,0.05,2405,208,121,17,0.08173076923076923,0.14049586776859505,0.08648648648648649,1.62448347107438,0.02618521480048519,0.006448226737647147,331305.0,12652369.0,43.0,6668.5
2004,weather_severity_only,all matched,0.1,2405,208,241,26,0.125,0.1078838174273859,0.08648648648648649,1.2474066390041494,0.027535475767423476,0.021893979155732175,348389.0,12652369.0,146.0,6668.5
2004,component_weather_transition_score,all matched,0.05,2405,208,121,52,0.25,0.4297520661157025,0.08648648648648649,4.9690082644628095,0.5656150243484046,0.3889930269175977,7156370.0,12652369.0,2594.0,6668.5
2004,component_weather_transition_score,all matched,0.1,2405,208,241,89,0.42788461538461536,0.36929460580912865,0.08648648648648649,4.26996887966805,0.946353682855756,0.4179350678563395,11973616.0,12652369.0,2787.0,6668.5
2005,component_transition_score,all matched,0.05,2720,228,136,81,0.35526315789473684,0.5955882352941176,0.0838235294117647,7.105263157894737,0.8167025006366893,0.5663583566358357,18743939.0,22950755.0,2633.0,4649.0
2005,component_transition_score,all matched,0.1,2720,228,272,131,0.5745614035087719,0.48161764705882354,0.0838235294117647,5.74561403508772,0.9180203875645921,0.7547859754785975,21069261.0,22950755.0,3509.0,4649.0
2005,component_transition_score,normal weather,0.05,1878,136,94,57,0.41911764705882354,0.6063829787234043,0.0724174653887114,8.373435544430539,0.6126433130787811,0.6682577565632458,5572440.0,9095733.0,1960.0,2933.0
2005,component_transition_score,normal weather,0.1,1878,136,188,84,0.6176470588235294,0.44680851063829785,0.0724174653887114,6.169899874843554,0.9544721684332642,0.8042959427207638,8681624.0,9095733.0,2359.0,2933.0
2005,component_transition_score,adverse weather,0.05,842,92,43,26,0.2826086956521739,0.6046511627906976,0.10926365795724466,5.533872598584428,0.9483071192524992,0.3916083916083916,13138816.0,13855022.0,672.0,1716.0
2005,component_transition_score,adverse weather,0.1,842,92,85,45,0.4891304347826087,0.5294117647058824,0.10926365795724466,4.845268542199489,0.9857881856845843,0.7867132867132867,13658117.0,13855022.0,1350.0,1716.0
2005,component_transition_score,low visibility,0.05,160,16,8,6,0.375,0.75,0.1,7.5,0.8882115491279607,0.65,345898.0,389432.0,26.0,40.0
2005,component_transition_score,low visibility,0.1,160,16,16,7,0.4375,0.4375,0.1,4.375,0.8906612707738449,0.65,346852.0,389432.0,26.0,40.0
2005,component_transition_score,precipitation,0.05,271,31,14,9,0.2903225806451613,0.6428571428571429,0.11439114391143912,5.619815668202765,0.9741564021440426,0.8759018759018758,12859336.0,13200484.0,607.0,693.0
2005,component_transition_score,precipitation,0.1,271,31,28,13,0.41935483870967744,0.4642857142857143,0.11439114391143912,4.058755760368664,0.9866827610260351,0.8845598845598845,13024690.0,13200484.0,613.0,693.0
2005,component_transition_score,low ceiling,0.05,734,82,37,22,0.2682926829268293,0.5945945945945946,0.11171662125340599,5.322346736980884,0.9694497865171746,0.3935212957408518,12974416.0,13383278.0,656.0,1667.0
2005,component_transition_score,low ceiling,0.1,734,82,74,41,0.5,0.5540540540540541,0.11171662125340599,4.95945945945946,0.9883180338927429,0.7858428314337133,13226935.0,13383278.0,1310.0,1667.0
2005,weather_severity_only,all matched,0.05,2720,228,136,14,0.06140350877192982,0.10294117647058823,0.0838235294117647,1.2280701754385965,0.017281566554128613,0.006453000645300065,396625.0,22950755.0,30.0,4649.0
2005,weather_severity_only,all matched,0.1,2720,228,272,41,0.17982456140350878,0.15073529411764705,0.0838235294117647,1.7982456140350878,0.5628603067742216,0.13508281350828136,12918069.0,22950755.0,628.0,4649.0
