airport_id,year,candidate_component_records,matched_component_records,weather_observations
CMH,2014,60,55,8730
CMH,2015,84,80,8708
CMH,2016,55,53,8755
CMH,2017,54,53,8724
CMH,2018,79,79,8715
CMH,2019,63,60,8715
CMH,2020,42,42,8745
CMH,2021,74,72,8728
CMH,2022,71,70,8730
CMH,2023,81,70,8731
CMH,2024,89,89,8753
CMH,2025,79,79,8734
RSW,2000,26,7,8706
RSW,2001,21,13,8418
RSW,2002,21,17,8488
RSW,2003,27,18,8629
RSW,2004,28,22,8496
RSW,2005,33,30,8665
RSW,2006,28,20,8528
RSW,2007,37,33,8576
RSW,2008,25,22,8679
RSW,2009,34,31,8700
RSW,2010,42,41,8686
RSW,2011,39,39,8712
RSW,2012,64,64,8741
RSW,2013,68,67,8716
RSW,2014,58,57,8719
RSW,2015,68,64,8697
RSW,2016,67,61,8736
RSW,2017,59,58,8706
RSW,2018,39,38,8695
RSW,2019,74,73,8686
RSW,2020,33,32,8730
RSW,2021,54,52,8709
RSW,2022,63,59,8397
RSW,2023,77,65,8651
RSW,2024,59,58,8685
RSW,2025,78,75,8717
DCA,2000,33,9,8697
DCA,2001,42,16,8697
DCA,2002,48,17,8673
