test_year,train_start,train_end,train_window,target,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift
2021,2016,2020,5,part_damage,component_phase_size_mass_rate,0.2,11800,753,2360,556,0.7383798140770252,0.23559322033898306,0.06381355932203389,3.6918990703851264
2021,2016,2020,5,part_damage,component_phase_size_mass_frequency,0.01,11800,753,118,1,0.0013280212483399733,0.00847457627118644,0.06381355932203389,0.13280212483399736
2021,2016,2020,5,part_damage,component_phase_size_mass_frequency,0.05,11800,753,590,4,0.005312084993359893,0.006779661016949152,0.06381355932203389,0.10624169986719788
2021,2016,2020,5,part_damage,component_phase_size_mass_frequency,0.1,11800,753,1180,8,0.010624169986719787,0.006779661016949152,0.06381355932203389,0.10624169986719788
2021,2016,2020,5,part_damage,component_phase_size_mass_frequency,0.2,11800,753,2360,26,0.034528552456839307,0.011016949152542373,0.06381355932203389,0.17264276228419656
2021,2016,2020,5,event_hard,phase_size_rate,0.01,11800,2042,118,101,0.0494613124387855,0.8559322033898306,0.1730508474576271,4.946131243878551
2021,2016,2020,5,event_hard,phase_size_rate,0.05,11800,2042,590,344,0.168462291870715,0.5830508474576271,0.1730508474576271,3.3692458374143
2021,2016,2020,5,event_hard,phase_size_rate,0.1,11800,2042,1180,608,0.29774730656219395,0.5152542372881356,0.1730508474576271,2.9774730656219393
2021,2016,2020,5,event_hard,phase_size_rate,0.2,11800,2042,2360,956,0.4681684622918707,0.40508474576271186,0.1730508474576271,2.3408423114593537
2021,2016,2020,5,event_hard,species_phase_size_rate,0.01,11800,2042,118,94,0.04603330068560235,0.7966101694915254,0.1730508474576271,4.603330068560235
2021,2016,2020,5,event_hard,species_phase_size_rate,0.05,11800,2042,590,381,0.18658178256611166,0.6457627118644068,0.1730508474576271,3.7316356513222333
2021,2016,2020,5,event_hard,species_phase_size_rate,0.1,11800,2042,1180,629,0.3080313418217434,0.5330508474576271,0.1730508474576271,3.080313418217434
2021,2016,2020,5,event_hard,species_phase_size_rate,0.2,11800,2042,2360,967,0.47355533790401566,0.4097457627118644,0.1730508474576271,2.3677766895200785
2021,2016,2020,5,event_hard,component_only_rate,0.01,11800,2042,118,57,0.02791380999020568,0.4830508474576271,0.1730508474576271,2.7913809990205682
2021,2016,2020,5,event_hard,component_only_rate,0.05,11800,2042,590,225,0.11018609206660138,0.3813559322033898,0.1730508474576271,2.2037218413320274
2021,2016,2020,5,event_hard,component_only_rate,0.1,11800,2042,1180,402,0.19686581782566112,0.34067796610169493,0.1730508474576271,1.9686581782566113
2021,2016,2020,5,event_hard,component_only_rate,0.2,11800,2042,2360,654,0.32027424094025464,0.2771186440677966,0.1730508474576271,1.6013712047012734
2021,2016,2020,5,event_hard,component_phase_size_rate,0.01,11800,2042,118,102,0.04995102840352596,0.864406779661017,0.1730508474576271,4.995102840352596
2021,2016,2020,5,event_hard,component_phase_size_rate,0.05,11800,2042,590,410,0.2007835455435847,0.6949152542372882,0.1730508474576271,4.015670910871695
