test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos,species,airport_id,airport,aircraft
2024,1513206.0,engine,departure,LARGE,4,True,True,1041390.0,44.0,Cackling goose,KPDX,PORTLAND INTL (OR),B-737-9
2025,1809749.0,engine,departure,MEDIUM,4,True,True,1030000.0,96.0,Unknown bird - medium,KSMF,SACRAMENTO INTL,EMB-170
2024,1564408.0,engine,arrival,LARGE,3,True,True,1026000.0,0.0,Black vulture,KCAE,COLUMBIA METRO,EMB-145
2018,803211.0,propeller,arrival,LARGE,2,True,True,1024000.0,672.0,White-tailed deer,KTTA,RALEIGH EXEC JETPORT AT SANFORD-LEE CNTY ARPT,C-421
2004,1436399.0,wing_rotor,departure,LARGE,2,True,True,1022798.0,150.0,Canada goose,KWDR,BARROW COUNTY ARPT,RKWL TURBO COMMANDER 690
2004,1436399.0,landing_gear,departure,LARGE,2,True,True,1022798.0,150.0,Canada goose,KWDR,BARROW COUNTY ARPT,RKWL TURBO COMMANDER 690
2002,649049.0,engine,departure,LARGE,4,True,True,1015130.0,40.0,Unknown bird - large,WSSS,SINGAPORE CHANGI AIRPORT,A-310
1998,623802.0,wing_rotor,departure,LARGE,2,True,True,985500.0,1680.0,White-tailed deer,KJST,JOHN MURTHA JOHNSTOWN-CAMBRIA COUNTY ARPT,BA-31 JETSTR
2019,1615446.0,tail,arrival,MEDIUM,4,True,True,943500.0,0.0,Mallard/American black duck complex,KJFK,JOHN F KENNEDY INTL,B-737-900
2000,650308.0,engine,arrival,LARGE,4,True,True,932500.0,0.0,"Ducks, geese, swans",KSLC,SALT LAKE CITY INTL,B-737-300
2007,1436381.0,engine,departure,MEDIUM,3,True,True,929400.0,336.0,Gadwall,KLMT,KLAMATH FALLS INTL,IAI GALAXY
2002,647555.0,engine,departure,LARGE,4,True,True,892500.0,72.0,Great horned owl,KDEN,DENVER INTL AIRPORT,B-757-200
2019,1200955.0,wing_rotor,unknown,MEDIUM,4,True,True,881147.0,47.0,Unknown bird - medium,ZZZZ,UNKNOWN,EMB-170
2003,659158.0,radome,departure,LARGE,4,True,True,875990.0,264.0,Snow goose,KSTL,LAMBERT-ST LOUIS INTL,B-737-300
2003,659158.0,wing_rotor,departure,LARGE,4,True,True,875990.0,264.0,Snow goose,KSTL,LAMBERT-ST LOUIS INTL,B-737-300
