ev_id,year,damage,severe,component_group,component,phase,size,mass,wildlife_hit,component_hit,phase_hit,size_hit,component_consistent,phase_consistent,size_consistent,severe_consistent,mapped_consistent,evidence_snippet
20171118X22836,2017,SUBS,yes,windshield,windshield,unknown,MEDIUM,1,bird,windscreen,none,bird,1,1,1,1,1,"ing the instructional night cross country flight, while in level flight about 3,500 ft, a bird struck the airplane and went through the windscreen. the airplane returned to the air"
20171121X10001,2017,SUBS,yes,windshield,windshield,arrival,MEDIUM,1,bird,windscreen,landing,bird,1,1,1,1,1,", about two miles from his destination, he made a left turn to enter the downwind leg for landing when a bird came out of the sun. the pilot made a hard right turn to avoid the bir"
20171205X42203,2017,SUBS,yes,windshield,windshield,departure,LARGE,2,bird; bird strike; birds,windscreen; wind screen,takeoff; initial climb; climb,flock,1,1,1,1,1,"according to the pilot, he took off at night, and during the initial climb about 800ft above the ground, the airplane ran into a flock of birds. the pilot declared an emergency wit"
20090707X53355,2009,SUBS,yes,other named component,fuselage,departure,LARGE,3,bird,airframe,takeoff; initial climb; climb,large bird,1,1,1,1,1,"the pilot stated that a large bird struck the nose of the airplane during initial climb after takeoff. the flight was about 1 mile north of the airport, 1,000 feet above ground le"
20100409X22252,2010,SUBS,yes,other named component,propeller,unknown,UNKNOWN,UNKNOWN,eagle,propeller,none,none,1,1,1,1,1,"on march 9, 2010, about 1630 local time, an eagle 150b, malaysia registration 9m-bev, crashed near kota bahru, kelantan, malaysia, subsequent to an in-flight propeller separation."
20100630X30344,2010,MINR,yes,other named component,landing gear,departure,LARGE,UNKNOWN,deer,landing gear; gear,takeoff; departure; takeoff roll,deer,1,1,1,1,1,"ded by the pilot to a federal aviation administration (faa) inspector, the airplane hit a deer during the takeoff roll from a private grass strip. the airplane was unable to clear"
20100805X95630,2010,SUBS,yes,other named component,tail,arrival,LARGE,1,bird; deer,stabilizer,landing,deer,1,1,1,1,1,"during landing roll, at approximately 30 knots, the airplane impacted a deer that suddenly emerged from a low-lying area located off the right side of the runway. the right horizo"
20101019X41128,2010,SUBS,yes,other named component,tail,departure,LARGE,1,bird; deer,stabilizer; elevator,takeoff; departure,deer,1,1,1,1,1,the pilot observed two deer crossing the runway from left to right just after he rotated during the night takeoff. he stated one deer was in front of him and the other was to the
20110606X81413,2011,SUBS,yes,other named component,landing gear,arrival,LARGE,UNKNOWN,bird; deer,landing gear; gear,landing; flare; touchdown,deer,1,1,1,1,1,"during the landing flare and touchdown, two deer ran onto the runway. the airplane struck one deer separating the nose landing gear. the nose of the airplane settled to the runway"
20120521X92853,2012,SUBS,yes,other named component,landing gear,arrival,LARGE,UNKNOWN,bird; deer,brake,landing,deer,1,1,1,1,1,"according to the pilot, during the landing roll he noticed a deer on the runway. in an attempt to avoid hitting the deer he applied the brakes and the airplane skidded off of the r"
20120829X74215,2012,SUBS,yes,other named component,tail,arrival,LARGE,1,bird; deer; wildlife,stabilizer,landing; approach; flare; touchdown,deer,1,1,1,1,1,"ight and were returning to their home, non-towered airport. the student pilot set up for landing on runway 1, and according to the cfi, they looked carefully for wildlife on and n"
20120911X01505,2012,SUBS,yes,other named component,landing gear,departure,LARGE,2,bird; birds; geese,landing gear; gear,takeoff,geese; flock,1,1,1,1,1,"1-325, n3591p, was substantially damaged during an abnormal contact with the runway after takeoff from runway 27 at washington county airport, washington, pennsylvania. the airline"
