airport_id,year,status,bytes
CRP,2000,downloaded,430902
CRP,2001,downloaded,433839
CRP,2002,downloaded,451635
CRP,2003,downloaded,449054
CRP,2004,downloaded,452753
CRP,2005,downloaded,444009
CRP,2006,downloaded,441657
CRP,2007,downloaded,446284
CRP,2008,downloaded,445435
CRP,2009,downloaded,468209
CRP,2010,downloaded,448887
CRP,2011,downloaded,448564
CRP,2012,downloaded,473286
CRP,2013,downloaded,473427
CRP,2014,downloaded,477134
CRP,2015,downloaded,477099
CRP,2016,downloaded,479209
CRP,2017,downloaded,476511
CRP,2018,downloaded,478703
CRP,2019,downloaded,478202
CRP,2020,downloaded,474032
CRP,2021,downloaded,475955
CRP,2022,downloaded,477392
CRP,2023,downloaded,478028
CRP,2024,downloaded,478155
CRP,2025,downloaded,477850
CVG,2000,downloaded,446203
CVG,2001,downloaded,446075
CVG,2002,downloaded,447545
CVG,2003,downloaded,447040
CVG,2004,downloaded,431021
CVG,2005,downloaded,424079
CVG,2006,downloaded,448271
CVG,2007,downloaded,445885
CVG,2008,downloaded,450942
CVG,2009,downloaded,451750
CVG,2010,downloaded,446696
CVG,2011,downloaded,442400
CVG,2012,downloaded,463708
CVG,2013,downloaded,463165
CVG,2014,downloaded,468446
CVG,2015,downloaded,467809
CVG,2016,downloaded,469027
CVG,2017,downloaded,473155
CVG,2018,downloaded,471423
CVG,2019,downloaded,472484
CVG,2020,downloaded,473348
CVG,2021,downloaded,471059
CVG,2022,downloaded,470681
CVG,2023,downloaded,470761
CVG,2024,downloaded,471634
CVG,2025,downloaded,471842
DAB,2000,downloaded,430935
DAB,2001,downloaded,438686
DAB,2002,downloaded,440595
DAB,2003,downloaded,439177
DAB,2004,downloaded,439701
DAB,2005,downloaded,438994
DAB,2006,downloaded,435147
DAB,2007,downloaded,438283
DAB,2008,downloaded,442097
DAB,2009,downloaded,471012
DAB,2010,downloaded,451068
DAB,2011,downloaded,445445
DAB,2012,downloaded,472910
DAB,2013,downloaded,473817
DAB,2014,downloaded,472635
DAB,2015,downloaded,474574
DAB,2016,downloaded,475881
DAB,2017,downloaded,472675
DAB,2018,downloaded,473630
DAB,2019,downloaded,473873
DAB,2020,downloaded,476332
DAB,2021,downloaded,473343
DAB,2022,downloaded,471661
DAB,2023,downloaded,473417
DAB,2024,downloaded,474727
DAB,2025,downloaded,470691
DAL,2000,downloaded,441476
DAL,2001,downloaded,443377
DAL,2002,downloaded,445438
DAL,2003,downloaded,443653
DAL,2004,downloaded,445568
DAL,2005,downloaded,446008
DAL,2006,downloaded,445032
DAL,2007,downloaded,450383
DAL,2008,downloaded,449298
DAL,2009,downloaded,471094
DAL,2010,downloaded,451732
DAL,2011,downloaded,450302
DAL,2012,downloaded,472444
DAL,2013,downloaded,472341
DAL,2014,downloaded,474068
DAL,2015,downloaded,473849
DAL,2016,downloaded,475698
DAL,2017,downloaded,476510
DAL,2018,downloaded,477454
DAL,2019,downloaded,476668
DAL,2020,downloaded,475117
DAL,2021,downloaded,473133
DAL,2022,downloaded,473504
DAL,2023,downloaded,475520
DAL,2024,downloaded,474882
DAL,2025,downloaded,474357
DAY,2000,downloaded,438914
DAY,2001,downloaded,438509
DAY,2002,downloaded,435677
DAY,2003,downloaded,435547
DAY,2004,downloaded,419712
DAY,2005,downloaded,432545
DAY,2006,downloaded,441570
DAY,2007,downloaded,442616
DAY,2008,downloaded,446962
DAY,2009,downloaded,445311
DAY,2010,downloaded,443107
DAY,2011,downloaded,447715
DAY,2012,downloaded,468810
DAY,2013,downloaded,470483
DAY,2014,downloaded,474065
DAY,2015,downloaded,473137
DAY,2016,downloaded,475128
DAY,2017,downloaded,474540
DAY,2018,downloaded,473970
DAY,2019,downloaded,473421
DAY,2020,downloaded,475097
DAY,2021,downloaded,473677
DAY,2022,downloaded,474163
DAY,2023,downloaded,474247
DAY,2024,downloaded,475038
DAY,2025,downloaded,474998
DCA,2000,downloaded,449442
DCA,2001,downloaded,447056
DCA,2002,downloaded,448756
DCA,2003,downloaded,450730
DCA,2004,downloaded,447842
DCA,2005,downloaded,420487
DCA,2006,downloaded,430703
DCA,2007,downloaded,449494
DCA,2008,downloaded,454241
DCA,2009,downloaded,454722
DCA,2010,downloaded,454444
DCA,2011,downloaded,453807
DCA,2012,downloaded,474893
DCA,2013,downloaded,475407
DCA,2014,downloaded,477258
DCA,2015,downloaded,474612
DCA,2016,downloaded,473977
DCA,2017,downloaded,477899
DCA,2018,downloaded,475112
DCA,2019,downloaded,478142
DCA,2020,downloaded,478592
DCA,2021,downloaded,477698
DCA,2022,downloaded,476692
DCA,2023,downloaded,477600
DCA,2024,downloaded,478236
DCA,2025,downloaded,477486
DEN,2000,downloaded,447353
DEN,2001,downloaded,451544
DEN,2002,downloaded,451961
DEN,2003,downloaded,452839
DEN,2004,downloaded,454362
DEN,2005,downloaded,453875
DEN,2006,downloaded,455134
DEN,2007,downloaded,474912
DEN,2008,downloaded,465179
DEN,2009,downloaded,476077
DEN,2010,downloaded,458553
DEN,2011,downloaded,455523
DEN,2012,downloaded,481184
DEN,2013,downloaded,478077
DEN,2014,downloaded,479645
DEN,2015,downloaded,476441
DEN,2016,downloaded,482698
DEN,2017,downloaded,479902
DEN,2018,downloaded,478244
DEN,2019,downloaded,477744
DEN,2020,downloaded,477464
DEN,2021,downloaded,475443
DEN,2022,downloaded,478958
DEN,2023,downloaded,477201
DEN,2024,cached,480103
DEN,2025,downloaded,478501
DFW,2000,downloaded,446440
DFW,2001,downloaded,442645
DFW,2002,downloaded,440136
DFW,2003,downloaded,446483
DFW,2004,downloaded,448601
DFW,2005,downloaded,445952
DFW,2006,downloaded,445129
DFW,2007,downloaded,468303
DFW,2008,downloaded,458440
DFW,2009,downloaded,470968
DFW,2010,downloaded,454341
DFW,2011,downloaded,452360
DFW,2012,downloaded,474104
DFW,2013,downloaded,474124
DFW,2014,downloaded,475432
DFW,2015,downloaded,474674
DFW,2016,downloaded,475751
DFW,2017,downloaded,476108
DFW,2018,downloaded,477412
DFW,2019,downloaded,476870
DFW,2020,downloaded,475680
DFW,2021,downloaded,473563
DFW,2022,downloaded,474417
DFW,2023,downloaded,476399
DFW,2024,cached,475799
DFW,2025,downloaded,473889
DSM,2000,downloaded,443255
DSM,2001,downloaded,441734
DSM,2002,downloaded,443800
DSM,2003,downloaded,443212
DSM,2004,downloaded,447286
DSM,2005,downloaded,445297
DSM,2006,downloaded,448578
DSM,2007,downloaded,445783
DSM,2008,downloaded,447452
DSM,2009,downloaded,469916
DSM,2010,downloaded,450934
DSM,2011,downloaded,448784
DSM,2012,downloaded,470156
DSM,2013,downloaded,470059
DSM,2014,downloaded,473157
DSM,2015,downloaded,473336
DSM,2016,downloaded,475699
DSM,2017,downloaded,475586
DSM,2018,downloaded,472221
DSM,2019,downloaded,474514
DSM,2020,downloaded,474738
DSM,2021,downloaded,473595
DSM,2022,downloaded,474802
DSM,2023,downloaded,474622
DSM,2024,downloaded,474896
DSM,2025,downloaded,474709
DTW,2000,downloaded,441311
DTW,2001,downloaded,443685
DTW,2002,downloaded,440223
DTW,2003,downloaded,446302
DTW,2004,downloaded,449494
DTW,2005,downloaded,440315
DTW,2006,downloaded,449058
DTW,2007,downloaded,296813
DTW,2008,downloaded,451335
DTW,2009,downloaded,474622
DTW,2010,downloaded,455939
DTW,2011,downloaded,454261
DTW,2012,downloaded,474853
DTW,2013,downloaded,474451
DTW,2014,downloaded,475640
DTW,2015,downloaded,474312
DTW,2016,downloaded,475514
DTW,2017,downloaded,475847
DTW,2018,downloaded,473684
DTW,2019,downloaded,474335
DTW,2020,downloaded,475757
DTW,2021,downloaded,472855
DTW,2022,downloaded,477142
DTW,2023,downloaded,476541
DTW,2024,downloaded,477596
DTW,2025,downloaded,476103
ELP,2000,downloaded,445166
ELP,2001,downloaded,448321
ELP,2002,downloaded,449146
ELP,2003,downloaded,445289
ELP,2004,downloaded,448131
ELP,2005,downloaded,448284
ELP,2006,downloaded,449155
ELP,2007,downloaded,448585
ELP,2008,downloaded,447161
ELP,2009,downloaded,472233
ELP,2010,downloaded,451467
ELP,2011,downloaded,441758
ELP,2012,downloaded,469251
ELP,2013,downloaded,471695
ELP,2014,downloaded,474735
ELP,2015,downloaded,476270
ELP,2016,downloaded,475113
ELP,2017,downloaded,474844
ELP,2018,downloaded,477223
ELP,2019,downloaded,478549
ELP,2020,downloaded,474988
ELP,2021,downloaded,474084
ELP,2022,downloaded,473454
ELP,2023,downloaded,477685
ELP,2024,downloaded,476831
ELP,2025,downloaded,473569
EVV,2000,downloaded,422449
EVV,2001,downloaded,422380
EVV,2002,downloaded,418480
EVV,2003,downloaded,424879
EVV,2004,downloaded,420053
EVV,2005,downloaded,424249
EVV,2006,downloaded,425386
EVV,2007,downloaded,424875
EVV,2008,downloaded,428381
EVV,2009,downloaded,429645
EVV,2010,downloaded,426820
EVV,2011,downloaded,428831
EVV,2012,downloaded,447752
EVV,2013,downloaded,450738
EVV,2014,downloaded,450019
EVV,2015,downloaded,448556
EVV,2016,downloaded,451952
EVV,2017,downloaded,451112
EVV,2018,downloaded,450328
EVV,2019,downloaded,451715
EVV,2020,downloaded,452825
EVV,2021,downloaded,450905
