test_year,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2019,hierarchical_review_rule,0.2,13667,863,2734,647,0.7497103128621089,0.23664959765910754,0.06314480134630862,3.7477289121749977,0.9338535650443887,0.8982895236009371,26527699.0,28406701.0,18374.620000000003,20455.120000000003
2019,historical_frequency,0.01,13667,863,137,1,0.0011587485515643105,0.0072992700729927005,0.06314480134630862,0.11559574054182067,0.0009623081539809921,0.006489817708231483,27336.0,28406701.0,132.75,20455.120000000003
2019,historical_frequency,0.025,13667,863,342,1,0.0011587485515643105,0.0029239766081871343,0.06314480134630862,0.04630589606499834,0.0010685858945746638,0.007760893116246689,30355.0,28406701.0,158.75,20455.120000000003
2019,historical_frequency,0.05,13667,863,684,7,0.008111239860950173,0.01023391812865497,0.06314480134630862,0.1620706362274942,0.002126998133292564,0.010327487690123547,60421.0,28406701.0,211.25,20455.120000000003
2019,historical_frequency,0.1,13667,863,1367,20,0.023174971031286212,0.014630577907827359,0.06314480134630862,0.2316988508299844,0.00237546063515084,0.012023884484666918,67479.0,28406701.0,245.95,20455.120000000003
2019,historical_frequency,0.2,13667,863,2734,33,0.038238702201622246,0.012070226773957572,0.06314480134630862,0.19115155193473712,0.01976963111626373,0.02075763916320217,561590.0,28406701.0,424.59999999999997,20455.120000000003
2020,hierarchical_review_rule,0.01,8269,558,83,55,0.0985663082437276,0.6626506024096386,0.0674809529568267,9.81981690201667,0.01980095912141078,0.36849636009153036,327940.0,16561824.0,6747.5,18310.89999999999
2020,hierarchical_review_rule,0.025,8269,558,207,123,0.22043010752688172,0.5942028985507246,0.0674809529568267,8.805490623863696,0.6148508763285976,0.5615999213583169,10183052.0,16561824.0,10283.4,18310.89999999999
2020,hierarchical_review_rule,0.05,8269,558,414,209,0.37455197132616486,0.5048309178743962,0.0674809529568267,7.481087562550864,0.6483599270225309,0.6592193720680035,10738023.0,16561824.0,12070.9,18310.89999999999
2020,hierarchical_review_rule,0.1,8269,558,827,320,0.5734767025089605,0.38694074969770254,0.0674809529568267,5.734073582885847,0.8523548493209444,0.7236847997640753,14116551.0,16561824.0,13251.32,18310.89999999999
2020,hierarchical_review_rule,0.2,8269,558,1654,408,0.7311827956989247,0.24667472793228537,0.0674809529568267,3.6554719090897274,0.9079728174867696,0.835033777695253,15037686.0,16561824.0,15290.220000000001,18310.89999999999
