test_year,operation_stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,weighted_capture_rate,weighted_lift
2009,all matched,airport_operations_only,0.05,5681,344,285,21,0.061046511627906974,0.07368421052631578,0.060552719591621194,1.2168604651162789,0.053992565264902655,1.215893506736988
2009,all matched,airport_operations_only,0.1,5681,344,569,29,0.08430232558139535,0.050966608084358524,0.060552719591621194,0.841689827114072,0.07518760216362845,0.8379577751689139
2009,low operations,airport_operations_only,0.05,2145,110,108,3,0.02727272727272727,0.027777777777777776,0.05128205128205128,0.5416666666666666,0.025970211933871595,0.5392920290062009
2009,low operations,airport_operations_only,0.1,2145,110,215,7,0.06363636363636363,0.03255813953488372,0.05128205128205128,0.6348837209302326,0.06066376119814049,0.6317972051428173
2009,medium operations,airport_operations_only,0.05,1830,134,92,5,0.03731343283582089,0.05434782608695652,0.073224043715847,0.7422128487994808,0.0361763968908529,0.744744489654741
2009,medium operations,airport_operations_only,0.1,1830,134,183,14,0.1044776119402985,0.07650273224043716,0.073224043715847,1.044776119402985,0.1014675353073161,1.0489049052642971
2009,high operations,airport_operations_only,0.05,1706,100,86,7,0.07,0.08139534883720931,0.05861664712778429,1.3886046511627907,0.06619426623631776,1.3859941217803426
2009,high operations,airport_operations_only,0.1,1706,100,171,14,0.14,0.08187134502923976,0.05861664712778429,1.3967251461988304,0.13318311274346445,1.3945541742127487
2010,all matched,component_transition_score,0.05,5400,336,270,120,0.35714285714285715,0.4444444444444444,0.06222222222222222,7.142857142857142,0.3581459408225697,7.174558557218141
2010,all matched,component_transition_score,0.1,5400,336,540,185,0.5505952380952381,0.3425925925925926,0.06222222222222222,5.505952380952381,0.5529338334100058,5.526320908621692
2010,low operations,component_transition_score,0.05,1985,110,100,43,0.39090909090909093,0.43,0.055415617128463476,7.759545454545455,0.3912003371711039,7.751247768953192
2010,low operations,component_transition_score,0.1,1985,110,199,65,0.5909090909090909,0.32663316582914576,0.055415617128463476,5.894243947007767,0.5916919959149941,5.897827227857931
2010,medium operations,component_transition_score,0.05,1628,110,82,40,0.36363636363636365,0.4878048780487805,0.06756756756756757,7.2195121951219505,0.36239072601588823,7.200084372259627
2010,medium operations,component_transition_score,0.1,1628,110,163,64,0.5818181818181818,0.39263803680981596,0.06756756756756757,5.811042944785276,0.5800156837999052,5.786797149639479
