test_year,score,budget_share,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,total_event_cost,selected_event_cost,event_cost_capture_rate,total_event_aos,selected_event_aos,event_aos_capture_rate
2004,posterior_tail_burden,0.05,6550,328,748,221,0.29545454545454547,0.6737804878048781,5.900083148558759,1400,278,0.19857142857142857,0.8475609756097561,3.96537456445993,32109043.0,10360408.0,0.3226632447438561,54065.5,41088.0,0.7599670769714513
2004,posterior_tail_burden,0.1,6550,655,748,370,0.4946524064171123,0.5648854961832062,4.946524064171124,1400,506,0.36142857142857143,0.7725190839694657,3.6142857142857143,32109043.0,23125522.0,0.720218350948672,54065.5,44582.0,0.8245923925608752
2004,posterior_event_tail_burden,0.05,6550,328,748,204,0.2727272727272727,0.6219512195121951,5.446230598669623,1400,281,0.2007142857142857,0.8567073170731707,4.008166376306621,32109043.0,13440132.0,0.4185777819662828,54065.5,40036.0,0.7405091971774976
2004,posterior_event_tail_burden,0.1,6550,655,748,362,0.4839572192513369,0.5526717557251909,4.839572192513369,1400,502,0.3585714285714286,0.766412213740458,3.585714285714286,32109043.0,23864955.0,0.7432471593750085,54065.5,44787.0,0.8283840896690126
2004,risk_guarded_tail_burden,0.05,6550,328,748,221,0.29545454545454547,0.6737804878048781,5.900083148558759,1400,278,0.19857142857142857,0.8475609756097561,3.96537456445993,32109043.0,10360408.0,0.3226632447438561,54065.5,41088.0,0.7599670769714513
2004,risk_guarded_tail_burden,0.1,6550,655,748,370,0.4946524064171123,0.5648854961832062,4.946524064171124,1400,506,0.36142857142857143,0.7725190839694657,3.6142857142857143,32109043.0,23125522.0,0.720218350948672,54065.5,44582.0,0.8245923925608752
2005,hierarchical_component_transition,0.05,6927,347,726,228,0.3140495867768595,0.6570605187319885,6.269226189058518,1354,280,0.206794682422452,0.8069164265129684,4.128146297234366,92169782.0,36355660.0,0.39444229129238906,28779.0,20053.0,0.6967928003057785
2005,hierarchical_component_transition,0.1,6927,693,726,381,0.5247933884297521,0.5497835497835498,5.245662051447176,1354,490,0.361890694239291,0.7070707070707071,3.6173403160109214,92169782.0,63557909.0,0.6895742576455264,28779.0,24942.0,0.8666736161784635
2005,component_phase_size_mass_rate,0.05,6927,347,726,214,0.29476584022038566,0.6167146974063401,5.884273703765452,1354,266,0.1964549483013294,0.7665706051873199,3.9217389823726476,92169782.0,54978283.0,0.5964892376549182,28779.0,18472.0,0.641856909552104
2005,component_phase_size_mass_rate,0.1,6927,693,726,371,0.5110192837465565,0.5353535353535354,5.107980632774021,1354,471,0.3478581979320532,0.6796536796536796,3.477076099675804,92169782.0,63582404.0,0.6898400171978274,28779.0,23008.0,0.7994718371034435
2005,component_phase_size_mass_frequency,0.05,6927,347,726,31,0.04269972451790634,0.0893371757925072,0.8523947888632195,1354,49,0.0361890694239291,0.14121037463976946,0.722425602016014,92169782.0,4166853.0,0.045208450205513125,28779.0,212.0,0.007366482504604052
2005,component_phase_size_mass_frequency,0.1,6927,693,726,43,0.05922865013774105,0.06204906204906205,0.592030100294563,1354,71,0.05243722304283604,0.10245310245310245,0.524145229462807,92169782.0,4454351.0,0.048327672078035296,28779.0,299.0,0.010389520136210431
2005,posterior_expected_burden,0.05,6927,347,726,236,0.325068870523416,0.6801152737752162,6.489199037797414,1354,295,0.21787296898079764,0.8501440922190202,4.349296991729064,92169782.0,38181568.0,0.4142525583927279,28779.0,21747.0,0.7556551652246429
2005,posterior_expected_burden,0.1,6927,693,726,378,0.5206611570247934,0.5454545454545454,5.204357625845229,1354,497,0.3670605612998523,0.7171717171717171,3.6690166062396488,92169782.0,66541290.0,0.7219425776660728,28779.0,25958.0,0.9019771361061886
2005,posterior_damage_gated_burden,0.05,6927,347,726,231,0.3181818181818182,0.6657060518731989,6.351716007335604,1354,284,0.20974889217134415,0.8184438040345822,4.187119815766286,92169782.0,36355660.0,0.39444229129238906,28779.0,20047.0,0.6965843149518747
2005,posterior_damage_gated_burden,0.1,6927,693,726,381,0.5247933884297521,0.5497835497835498,5.245662051447176,1354,490,0.361890694239291,0.7070707070707071,3.6173403160109214,92169782.0,63548045.0,0.6894672377547774,28779.0,24917.0,0.8658049272038639
2005,posterior_tail_burden,0.05,6927,347,726,231,0.3181818181818182,0.6657060518731989,6.351716007335604,1354,284,0.20974889217134415,0.8184438040345822,4.187119815766286,92169782.0,37668405.0,0.4086849744312078,28779.0,19195.0,0.6669793946975225
2005,posterior_tail_burden,0.1,6927,693,726,386,0.5316804407713499,0.556998556998557,5.314502760783753,1354,499,0.3685376661742984,0.7200577200577201,3.6837812605907136,92169782.0,65900609.0,0.7149914816984161,28779.0,25280.0,0.8784182911150492
2005,posterior_event_tail_burden,0.05,6927,347,726,237,0.32644628099173556,0.6829971181556196,6.516695643889776,1354,299,0.22082717872968982,0.861671469740634,4.408270510260984,92169782.0,38178280.0,0.41421688509581156,28779.0,21863.0,0.7596858820667848
2005,posterior_event_tail_burden,0.1,6927,693,726,370,0.509641873278237,0.5339105339105339,5.094212490906705,1354,493,0.3641063515509601,0.7113997113997114,3.6394872975375185,92169782.0,67191230.0,0.7289941295510496,28779.0,25960.0,0.9020466312241565
2005,risk_guarded_tail_burden,0.05,6927,347,726,231,0.3181818181818182,0.6657060518731989,6.351716007335604,1354,284,0.20974889217134415,0.8184438040345822,4.187119815766286,92169782.0,37668405.0,0.4086849744312078,28779.0,19195.0,0.6669793946975225
2005,risk_guarded_tail_burden,0.1,6927,693,726,386,0.5316804407713499,0.556998556998557,5.314502760783753,1354,499,0.3685376661742984,0.7200577200577201,3.6837812605907136,92169782.0,65900609.0,0.7149914816984161,28779.0,25280.0,0.8784182911150492
